Name,TM_score,RMSD,,id,organism_from_ncb,species,genus,family,order,class,phylum,kingdom,domain
ABV95226.1_398580,0.959,1.11,,ABV95226.1,Dinoroseobacter shibae DFL 12 = DSM 16493,Dinoroseobacter shibae,Dinoroseobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AEP10534.1_856793,0.8887,2.04,,AEP10534.1,Micavibrio aeruginosavorus ARL-13,Micavibrio aeruginosavorus,Micavibrio,Pseudobdellovibrionaceae,Bdellovibrionales,Bdellovibrionia,Bdellovibrionota,Pseudomonadati,Bacteria
AGM09942.1_129921,0.9171,1.83,,AGM09942.1,Amycolatopsis keratiniphila,Amycolatopsis keratiniphila,Amycolatopsis,Pseudonocardiaceae,Pseudonocardiales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
AHD02601.1_999552,0.9361,1.53,,AHD02601.1,Leisingera methylohalidivorans DSM 14336,Leisingera methylohalidivorans,Leisingera,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AHD03788.1_999552,0.8773,2.52,,AHD03788.1,Leisingera methylohalidivorans DSM 14336,Leisingera methylohalidivorans,Leisingera,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AHF01380.1_717772,0.9158,2.08,,AHF01380.1,Thiomicrospira aerophila AL3,Thiomicrospira aerophila,Thiomicrospira,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AHK79364.1_421628,0.885,2.54,,AHK79364.1,Ectothiorhodospira haloalkaliphila,Ectothiorhodospira haloalkaliphila,Ectothiorhodospira,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AHK80479.1_421628,0.9249,1.71,,AHK80479.1,Ectothiorhodospira haloalkaliphila,Ectothiorhodospira haloalkaliphila,Ectothiorhodospira,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AJE45371.1_1208324,0.9558,1.07,,AJE45371.1,Celeribacter indicus,Celeribacter indicus,Celeribacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AJY48188.1_1486262,0.9425,1.44,,AJY48188.1,Martelella endophytica,Martelella endophytica,Martelella,Aurantimonadaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ALO45085.1_1249552,0.9382,1.48,,ALO45085.1,Pseudohongiella spirulinae,Pseudohongiella spirulinae,Pseudohongiella,Pseudohongiellaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ALQ56858.1_152297,0.7284,3.89,,ALQ56858.1,Pseudoalteromonas issachenkonii,Pseudoalteromonas issachenkonii,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AML52415.1_1579316,0.9198,1.88,,AML52415.1,Falsihalocynthiibacter arcticus,Falsihalocynthiibacter arcticus,Falsihalocynthiibacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ANJ11144.1_146923,0.7052,4,,ANJ11144.1,Streptomyces parvulus,Streptomyces parvulus,Streptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
ANP37211.1_60890,0.9606,1.07,,ANP37211.1,Phaeobacter gallaeciensis,Phaeobacter gallaeciensis,Phaeobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ANR70200.1_712528,0.8129,2.32,,ANR70200.1,Selenomonas sp. oral taxon 126,unclassified Selenomonas,Selenomonas,Selenomonadaceae,Selenomonadales,Negativicutes,Bacillota,Bacillati,Bacteria
APE42054.1_1917485,0.981,0.87,,APE42054.1,Sulfitobacter alexandrii,Sulfitobacter alexandrii,Sulfitobacter,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
APH73430.1_1670800,0.9387,1.58,,APH73430.1,Aquibium oceanicum,Aquibium oceanicum,Aquibium,Phyllobacteriaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
APS23024.1_1661694,0.7368,3.64,,APS23024.1,Streptomyces sp. Tue 6075,unclassified Streptomyces,Streptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
APX13138.1_299262,0.964,0.79,,APX13138.1,Tateyamaria omphalii,Tateyamaria omphalii,Tateyamaria,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
APX89847.1_1267768,0.9712,0.87,,APX89847.1,Brevirhabdus pacifica,Brevirhabdus pacifica,Brevirhabdus,Paracoccaceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
APZ53045.1_1250539,0.9403,1.54,,APZ53045.1,Salipiger abyssi,Salipiger abyssi,Salipiger,Roseobacteraceae,Rhodobacterales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
AQA09563.1_75293,0.7587,3.19,,AQA09563.1,Streptomyces autolyticus,Streptomyces autolyticus,Streptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
AQU65114.1_193462,0.7549,3.48,,AQU65114.1,Streptomyces niveus,Streptomyces niveus,Streptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
ARF71162.1_68173,0.7352,3.48,,ARF71162.1,Kitasatospora albolonga,Kitasatospora albolonga,Kitasatospora,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
ARX83299.1_67267,0.721,3.84,,ARX83299.1,Streptomyces alboflavus,Streptomyces alboflavus,Streptomyces,Streptomycetaceae,Kitasatosporales,Actinomycetes,Actinomycetota,Bacillati,Bacteria
ASM56253.1_28109,0.728,3.85,,ASM56253.1,Pseudoalteromonas nigrifaciens,Pseudoalteromonas nigrifaciens,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
ASP36396.1_2021862,0.919,1.97,,ASP36396.1,Labrenzia sp. VG12,unclassified Labrenzia,Labrenzia,Stappiaceae,Hyphomicrobiales,Alphaproteobacteria,Pseudomonadota,Pseudomonadati,Bacteria
