ID,TM,RMSD
./AQA09563.1_75293.pdb,0.7587,3.19
./AVF03872.1_2083786.pdb,0.9331,1.55
./ATD00292.1_1117319.pdb,0.8832,2.42
./EAQ03393.1_252305.pdb,0.9668,1.14
./ATC97557.1_1117319.pdb,0.7375,3.87
./GAC33738.1_1129793.pdb,0.7404,3.85
./AHF01380.1_717772.pdb,0.9158,2.08
./AHD02601.1_999552.pdb,0.9361,1.53
./APX89847.1_1267768.pdb,0.9712,0.87
./GAC30001.1_1121922.pdb,0.7069,4.2
./GAE28115.1_1236970.pdb,0.8674,2.3
./ANP37211.1_60890.pdb,0.9606,1.07
./EAQ25778.1_314264.pdb,0.8781,2.39
./AHK79364.1_421628.pdb,0.885,2.54
./EYT79520.1_1470557.pdb,0.7258,3.74
./GAC16910.1_1127673.pdb,0.7697,3.53
./GAB56706.1_1121923.pdb,0.7406,3.84
./AGM09942.1_129921.pdb,0.9171,1.83
./AVO47768.1_1868589.pdb,0.8961,2.66
./EAQ08197.1_314232.pdb,0.9834,0.43
./CCH31977.1_1179773.pdb,0.9305,1.8
./ARF71162.1_68173.pdb,0.7352,3.48
./ESW62374.1_1408890.pdb,0.9364,1.63
./EEE38440.1_467661.pdb,0.9622,1.24
./AHD03788.1_999552.pdb,0.8773,2.52
./GAC04989.1_1125747.pdb,0.7151,4.21
./ETX13443.1_1449350.pdb,0.9914,0.56
./BBB29834.1_1441457.pdb,0.7149,4.15
./EHK60356.1_1118153.pdb,0.7204,3.98
./CEL19634.1_703222.pdb,0.9281,1.61
./GAP45438.1_146537.pdb,0.7118,3.66
./EHP31358.1_929558.pdb,0.9109,2.07
./EHA14927.1_550984.pdb,0.7343,4.14
./EAQ24544.1_314264.pdb,0.9936,0.49
./AML52415.1_1579316.pdb,0.9198,1.88
./ASP36396.1_2021862.pdb,0.919,1.97
./EGD41262.1_408672.pdb,0.8528,2.71
./EGP20985.1_999141.pdb,0.7331,3.97
./ALQ56858.1_152297.pdb,0.7284,3.89
./APS23024.1_1661694.pdb,0.7368,3.64
./AJY48188.1_1486262.pdb,0.9425,1.44
./ASY13120.1_1884915.pdb,0.7757,2.79
./ATN32858.1_1571470.pdb,0.8759,2.62
./AQU65114.1_193462.pdb,0.7549,3.48
./AXI57169.1_2070369.pdb,0.9663,0.93
./EAR51170.1_314256.pdb,0.9866,0.66
./CAD5272638.1_2768855.pdb,0.9268,1.71
./ATC84759.1_1312369.pdb,0.7235,3.88
./AVW92208.1_875171.pdb,0.9355,1.7
./ANR70200.1_712528.pdb,0.8129,2.32
./AWI85201.1_311180.pdb,0.9948,0.43
./EBA16976.1_388739.pdb,0.9157,0.85
./ETX29622.1_1449351.pdb,0.944,1.49
./BCD99572.1_2721545.pdb,0.9223,1.9
./ATC93201.1_314281.pdb,0.7274,3.9
./APZ53045.1_1250539.pdb,0.9403,1.54
./AWE54263.1_1827580.pdb,0.715,3.67
./AXJ01281.1_1457365.pdb,0.8554,2.41
./ANJ11144.1_146923.pdb,0.7052,4
./BBF79806.1_78587.pdb,0.912,1.72
./AVR00721.1_182710.pdb,0.9017,2.04
./EJZ77745.1_1169410.pdb,0.8275,2.68
./ARX83299.1_67267.pdb,0.721,3.84
./AJE45371.1_1208324.pdb,0.9558,1.07
./AXX29817.1_103721.pdb,0.9198,1.87
./ERP88401.1_1397530.pdb,0.9186,1.97
./ETA52969.2_1169855.pdb,0.9432,1.53
./APE42054.1_1917485.pdb,0.981,0.87
./GAE06271.1_1236974.pdb,0.7763,3.54
./ALO45085.1_1249552.pdb,0.9382,1.48
./APX13138.1_299262.pdb,0.964,0.79
./BBB26251.1_1278309.pdb,0.7677,3.68
./EGF91403.1_715226.pdb,0.8288,2
./APH73430.1_1670800.pdb,0.9387,1.58
./ATG48779.1_1758178.pdb,0.9401,1.49
./EAU40305.1_314231.pdb,0.9406,1.49
./GAE33990.1_1236973.pdb,0.8703,2.21
./AXI48438.1_1389005.pdb,0.9831,0.79
./AYL40311.1_68203.pdb,0.7174,3.7
./AHK80479.1_421628.pdb,0.9249,1.71
./AEP10534.1_856793.pdb,0.8887,2.04
./EMD25427.1_1238180.pdb,0.928,1.67
./AUH34701.1_1529068.pdb,0.9606,1.37
./AVG23397.1_1159327.pdb,0.7697,3.49
./AST93826.1_33932.pdb,0.8293,2.25
./EAQ03154.1_252305.pdb,0.8787,2.49
./GAE30429.1_1236971.pdb,0.8562,2.51
./GAC19058.1_493475.pdb,0.77,3.53
./EAS49396.1_287752.pdb,0.9231,1.84
./ASM56253.1_28109.pdb,0.728,3.85
./BCE01703.1_2724896.pdb,0.6771,4.58
./ABV95226.1_398580.pdb,0.959,1.11
./BCD98513.1_2721545.pdb,0.7386,3.9
./GKT12440.1_2039724.pdb,0.7002,4.14
./CCF20405.1_1125847.pdb,0.9187,1.95
./EAU46768.1_314265.pdb,0.9746,0.61
./AXI40745.1_1389004.pdb,0.9942,0.46
./EAQ46312.1_314262.pdb,0.9457,1.43
